
 210.0083  37.0116  -5232.00
 210.0250  37.0116  -5226.00
 210.0417  37.0116  -5232.00
 210.0583  37.0116  -5242.00
 210.0750  37.0116  -5260.00
 210.0917  37.0116  -5276.00
 210.1083  37.0116  -5288.00
 210.1250  37.0116  -5292.00
 210.1416  37.0116  -5284.00
 210.1583  37.0116  -5272.00
 210.1750  37.0116  -5254.00
 210.1917  37.0116  -5232.00
 210.2083  37.0116  -5214.00
 210.2250  37.0116  -5206.00
 210.2417  37.0116  -5208.00
 210.2583  37.0116  -5218.00
 210.2750  37.0116  -5236.00
 210.2917  37.0116  -5262.00
 210.3083  37.0116  -5290.00
 210.3250  37.0116  -5314.00
 210.3417  37.0116  -5336.00
 210.3583  37.0116  -5350.00
 210.3750  37.0116  -5360.00
 210.3916  37.0116  -5362.00
 210.4083  37.0116  -5362.00
 210.4250  37.0116  -5354.00
 210.4417  37.0116  -5342.00
 210.4583  37.0116  -5322.00
 210.4750  37.0116  -5300.00
 210.4917  37.0116  -5280.00
 210.5083  37.0116  -5256.00
 210.5250  37.0116  -5240.00
 210.5417  37.0116  -5230.00
 210.5583  37.0116  -5236.00
 210.5750  37.0116  -5250.00
 210.5917  37.0116  -5276.00
 210.6083  37.0116  -5312.00
 210.6250  37.0116  -5356.00
 210.6416  37.0116  -5408.00
 210.6583  37.0116  -5464.00
 210.6750  37.0116  -5510.00
 210.6917  37.0116  -5548.00
 210.7083  37.0116  -5576.00
 210.7250  37.0116  -5594.00
 210.7417  37.0116  -5604.00
 210.7583  37.0116  -5602.00
 210.7750  37.0116  -5596.00
 210.7917  37.0116  -5584.00
 210.8083  37.0116  -5568.00
 210.8250  37.0116  -5554.00
 210.8417  37.0116  -5540.00
 210.8583  37.0116  -5530.00
 210.8750  37.0116  -5518.00
 210.8916  37.0116  -5512.00
 210.9083  37.0116  -5506.00
 210.9250  37.0116  -5502.00
 210.9417  37.0116  -5502.00
 210.9583  37.0116  -5506.00
 210.9750  37.0116  -5516.00
 210.9917  37.0116  -5534.00
 211.0083  37.0116  -5566.00
 211.0250  37.0116  -5632.00
 211.0417  37.0116  -5743.00
 211.0583  37.0116  -5643.00
 211.0750  37.0116  -5629.00
 211.0917  37.0116  -5483.00
 211.1083  37.0116  -5455.00
